[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:hopper_minecart>
[12:32:51.225][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:horse>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:husk>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:illusioner>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:interaction>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:iron_golem>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:item>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:item_display>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:item_frame>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:fireball>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:leash_knot>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:lightning_bolt>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:llama>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:llama_spit>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:magma_cube>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:marker>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:minecart>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:mooshroom>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:mule>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:ocelot>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:painting>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:panda>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:parrot>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:phantom>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:pig>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:piglin>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:piglin_brute>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:pillager>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:polar_bear>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:potion>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:pufferfish>
